jobtitle,psychotype
HR manager,ISTJ
HR manager,ENTJ
HR manager,ESTJ
HR manager,ENFJ
HR manager,ESTP
HR manager,ESTP
HR manager,ESFJ
HR manager,ESFJ
HR manager,ISTJ
HR manager,INTJ
HR manager,ISTJ
HR manager,ESTJ
HR manager,INFJ
HR manager,ESFJ
HR manager,ISFP
HR manager,ESFJ
HR manager,ESTJ
HR manager,ENFP
HR manager,ISTJ
HR manager,ENFP
HR manager,ISFP
HR manager,ENTP
HR manager,INTJ
HR manager,ESTP
HR manager,ENFP
HR manager,INFP
HR manager,ENFJ
HR manager,ENFJ
HR manager,ISFJ
HR manager,ENTJ
HR manager,ENTJ
HR manager,ENTP
HR manager,ESTJ
HR manager,ESTJ
HR manager,ENFP
HR manager,ESTJ
HR manager,ESFJ
HR manager,ESTJ
HR manager,INFP
HR manager,ENFJ
HR manager,INTJ
HR manager,ESFJ
HR manager,ENTJ
HR manager,INTJ
HR manager,ESFP
HR manager,ISTP
HR manager,ENFP
HR manager,ISTJ
HR manager,ENTJ
HR manager,ESTP
HR manager,ISTJ
HR manager,ENTJ
HR manager,ESTJ
HR manager,ISFJ
HR manager,ISFJ
HR manager,ISFJ
HR manager,ENFJ
HR manager,ESTJ
HR manager,ENFJ
HR manager,ISTJ
HR manager,ESTJ
HR manager,ENFJ
HR manager,ISFJ
HR manager,ENFJ
HR manager,ENTJ
HR manager,ESTJ
HR manager,INFJ
HR manager,INFP
HR manager,INFJ
HR manager,ENFP
HR manager,ISTJ
HR manager,ENTJ
HR manager,ESFJ
HR manager,ENFJ
HR manager,ESTJ
HR manager,ISTJ
HR manager,ENTP
HR manager,ISTJ
HR manager,ESTJ
HR manager,ISFJ
HR manager,INTP
HR manager,ESTJ
HR manager,ENTJ
HR manager,ISTJ
HR manager,ESTJ
HR manager,INFJ
HR manager,INTP
HR manager,ESFJ
HR manager,ESTJ
HR manager,INFP
HR manager,ENFJ
HR manager,ESTJ
HR manager,INFJ
HR manager,INFJ
HR manager,ISFJ
HR manager,INFP
HR manager,ISTJ
HR manager,ESFJ
HR manager,ISFJ
HR manager,ESTJ
HR manager,ENTP
HR manager,ISTJ
HR manager,ESTP
HR manager,ESFJ
HR manager,ESTJ
HR manager,INFP
HR manager,ENFP
HR manager,ESTJ
HR manager,ENTJ
HR manager,ESTJ
HR manager,ESTJ
HR manager,INTP
HR manager,ENTJ
HR manager,INTJ
HR manager,INTJ
HR manager,ESFJ
HR manager,INFP
HR manager,ESFJ
HR manager,INTJ
HR manager,ESTP
HR manager,INFP
HR manager,ENFP
HR manager,ENTJ
HR manager,ISFJ
HR manager,ESFJ
HR manager,ISTJ
HR manager,INTJ
HR manager,ESTJ
HR manager,ENTP
HR manager,ENTJ
HR manager,INTJ
HR manager,ESFJ
HR manager,INFP
HR manager,ENTP
HR manager,ESTP
HR manager,ESTJ
HR manager,INTP
HR manager,ESFJ
HR manager,ESFJ
HR manager,ENTP
HR manager,ISTJ
HR manager,INTP
HR manager,ISTP
HR manager,ISTP
HR manager,ENFJ
HR manager,ISTJ
HR manager,INFP
HR manager,ENFP
HR manager,INTJ
HR manager,ISTJ
HR manager,ESFJ
HR manager,INFP
HR manager,ESTJ
